kmer90 	bad	62.56	52.38
kmer91 	bad	64.52	57.14
kmer92 	bad	54.75	33.33
kmer93 	bad	58.66	42.86
kmer94 	bad	62.56	52.38
kmer95 	bad	64.52	57.14
kmer96 	bad	60.61	47.62
kmer97 	good	64.52	57.14
kmer98 	bad	62.56	52.38
kmer99 	bad	54.75	33.33
kmer100 	bad	60.61	47.62
kmer101 	bad	60.61	47.62
kmer102 	bad	56.71	38.10
kmer103 	bad	62.56	52.38
kmer104 	bad	56.71	38.10
kmer105 	bad	62.56	52.38
kmer106 	bad	60.61	47.62
kmer107 	bad	56.71	38.10
kmer108 	bad	50.85	23.81
kmer109 	bad	52.80	28.57
kmer110 	bad	48.90	19.05
kmer111 	bad	60.61	47.62
kmer112 	bad	46.94	14.29
kmer113 	bad	50.85	23.81
kmer114 	bad	54.75	33.33
kmer115 	bad	56.71	38.10
kmer116 	bad	58.66	42.86
kmer117 	good	52.80	28.57
kmer118 	bad	58.66	42.86
kmer119 	good	58.66	42.86
kmer120 	bad	58.66	42.86
kmer121 	good	56.71	38.10
kmer122 	bad	46.94	14.29
kmer123 	bad	58.66	42.86
kmer124 	good	60.61	47.62
kmer125 	bad	56.71	38.10
kmer126 	bad	58.66	42.86
kmer127 	bad	58.66	42.86
kmer128 	bad	50.85	23.81
kmer129 	bad	56.71	38.10
kmer130 	bad	58.66	42.86
kmer131 	bad	54.75	33.33
kmer132 	bad	52.80	28.57
kmer133 	bad	43.04	4.76
kmer134 	bad	48.90	19.05
kmer135 	bad	60.61	47.62
kmer136 	bad	54.75	33.33
kmer137 	bad	62.56	52.38
kmer138 	bad	54.75	33.33
kmer139 	bad	60.61	47.62
kmer140 	bad	58.66	42.86
kmer141 	bad	52.80	28.57
kmer142 	bad	58.66	42.86
kmer143 	bad	66.47	61.90
kmer144 	bad	66.47	61.90
kmer145 	bad	62.56	52.38
kmer146 	bad	52.80	28.57
kmer147 	bad	58.66	42.86
kmer148 	bad	64.52	57.14
kmer149 	bad	64.52	57.14
kmer150 	bad	50.85	23.81
kmer151 	bad	58.66	42.86
kmer152 	bad	60.61	47.62
kmer153 	good	62.56	52.38
kmer154 	bad	58.66	42.86
kmer155 	bad	64.52	57.14
kmer156 	bad	62.56	52.38
kmer157 	bad	64.52	57.14
kmer158 	bad	64.52	57.14
kmer159 	bad	48.90	19.05
kmer160 	bad	56.71	38.10
kmer161 	bad	60.61	47.62
kmer162 	bad	60.61	47.62
kmer163 	bad	60.61	47.62
kmer164 	bad	60.61	47.62
kmer165 	bad	54.75	33.33
kmer166 	bad	54.75	33.33
kmer167 	bad	60.61	47.62
kmer168 	bad	62.56	52.38
kmer169 	bad	66.47	61.90
kmer170 	bad	64.52	57.14
kmer171 	bad	64.52	57.14
kmer172 	bad	62.56	52.38
kmer173 	bad	58.66	42.86
kmer174 	bad	64.52	57.14
kmer175 	bad	66.47	61.90
kmer176 	bad	66.47	61.90
kmer177 	bad	62.56	52.38
kmer178 	bad	64.52	57.14
kmer179 	bad	70.37	71.43
kmer180 	bad	66.47	61.90
kmer181 	bad	66.47	61.90
kmer182 	good	62.56	52.38
kmer183 	bad	60.61	47.62
kmer184 	bad	64.52	57.14
kmer185 	bad	66.47	61.90
kmer186 	bad	60.61	47.62
kmer187 	good	60.61	47.62
kmer188 	bad	58.66	42.86
kmer189 	bad	64.52	57.14
kmer190 	bad	58.66	42.86
kmer191 	bad	60.61	47.62
kmer192 	good	64.52	57.14
kmer193 	bad	62.56	52.38
kmer194 	bad	68.42	66.67
kmer195 	bad	62.56	52.38
kmer196 	good	62.56	52.38
kmer197 	bad	64.52	57.14
kmer198 	bad	66.47	61.90
kmer199 	good	64.52	57.14
kmer200 	good	62.56	52.38
kmer201 	good	56.71	38.10
kmer202 	good	58.66	42.86
kmer203 	bad	60.61	47.62
kmer204 	bad	62.56	52.38
kmer205 	bad	60.61	47.62
kmer206 	bad	70.37	71.43
kmer207 	bad	64.52	57.14
kmer208 	bad	60.61	47.62
kmer209 	bad	56.71	38.10
kmer210 	bad	54.75	33.33
kmer211 	bad	62.56	52.38
kmer212 	bad	56.71	38.10
kmer213 	bad	62.56	52.38
kmer214 	bad	66.47	61.90
kmer215 	bad	56.71	38.10
kmer216 	bad	56.71	38.10
kmer217 	bad	62.56	52.38
kmer218 	good	58.66	42.86
kmer219 	bad	62.56	52.38
kmer220 	bad	62.56	52.38
kmer221 	bad	62.56	52.38
kmer222 	bad	58.66	42.86
kmer223 	bad	62.56	52.38
kmer224 	bad	62.56	52.38
kmer225 	bad	64.52	57.14
kmer226 	bad	66.47	61.90
kmer227 	bad	62.56	52.38
kmer228 	bad	62.56	52.38
kmer229 	bad	68.42	66.67
kmer230 	bad	58.66	42.86
kmer231 	bad	56.71	38.10
kmer232 	bad	62.56	52.38
kmer233 	bad	60.61	47.62
kmer234 	bad	60.61	47.62
kmer235 	bad	62.56	52.38
kmer236 	good	62.56	52.38
kmer237 	bad	60.61	47.62
kmer238 	bad	60.61	47.62
kmer239 	bad	60.61	47.62
kmer240 	bad	60.61	47.62
kmer241 	bad	48.90	19.05
kmer242 	bad	56.71	38.10
kmer243 	bad	58.66	42.86
kmer244 	bad	62.56	52.38
kmer245 	bad	64.52	57.14
kmer246 	bad	62.56	52.38
kmer247 	bad	68.42	66.67
kmer248 	bad	60.61	47.62
kmer249 	bad	60.61	47.62
kmer250 	bad	60.61	47.62
kmer251 	bad	62.56	52.38
kmer252 	bad	64.52	57.14
kmer253 	bad	54.75	33.33
kmer254 	good	62.56	52.38
kmer255 	bad	64.52	57.14
kmer256 	bad	58.66	42.86
kmer257 	bad	54.75	33.33
kmer258 	bad	66.47	61.90
kmer259 	bad	52.80	28.57
kmer260 	bad	58.66	42.86
kmer261 	bad	54.75	33.33
kmer262 	bad	58.66	42.86
kmer263 	bad	58.66	42.86
kmer264 	bad	58.66	42.86
kmer265 	bad	56.71	38.10
kmer266 	bad	50.85	23.81
kmer267 	bad	62.56	52.38
kmer268 	bad	64.52	57.14
kmer269 	bad	56.71	38.10
kmer270 	bad	58.66	42.86
kmer271 	bad	56.71	38.10
kmer272 	bad	52.80	28.57
kmer273 	bad	62.56	52.38
kmer274 	bad	64.52	57.14
